280608_5.0017;TROS
186301_1.0225;225 BudziwÛj
181310_2.0001;Batycze
181310_2.0007;Orzechowce
181310_2.0003;Buszkowice
181905_2.0009;PSTR•G”WKA
186401_1.0005;NagnajÛw
182001_5.0002;Durdy
181905_2.0006;MARKUSZOWA
181905_2.0013;WIåNIOWA
181905_2.0010;R”ØANKA
182001_5.0006;Siedleszczany
182001_5.0011;Kaczaki
182101_2.0012;ROZTOKI DOLNE
181409_2.0007;ZALESIE
181205_5.0001;Zarzecze
181503_5.0003;LUBZINA
182102_2.0009;£OPIENKA
200206_5.0015;£UPIANKA NOWA
200206_5.0008;G•S”WKA STARA
200107_2.0037;SZTABIN
200107_2.0039;WROTKI
200101_1.0007;OBR B 7
200210_5.0005;RYNKI
181705_2.0023;SrogÛw Dolny
181705_2.0020;Prusiek
181705_2.0016;Niebieszczany
181705_2.0026;Stroøe Ma≥e
181705_2.0006;H≥omcza
181707_4.0001;Dolina
181611_5.0004;Trzeboú
200201_5.0019;PA—KI
181707_5.0014;Tarnawa GÛrna
181801_1.0005;5-Jelnia
181804_2.0011;Witkowice
181804_2.0007;PniÛw
200107_2.0016;JASIONOWO KO£O KRASNEGOBORU
200107_2.0019;JASTRZ BNA PIERWSZA
200201_5.0016;MI—CE
200201_5.0003;CZAPLINO
200210_5.0001;DOKTORCE
181806_2.0003;Kotowa Wola
181705_2.0021;Raczkowa
200201_5.0018;OLISZKI
181901_2.0001;BABICA
200206_5.0006;G•S”WKA SKWARKI
181502_2.0007;SKRZYSZ”W
181502_2.0005;OCIEKA
181903_2.0008;LUTCZA
181904_5.0011;GLINIK ZABOROWSKI
181606_5.0012;Wysoka G≥ogowska
200202_5.0002;BRZOZ”WKA ZIEMIA—SKA
200104_5.0013;LUBINOWO
200204_2.0008;GR”DEK
200205_2.0021;KOPLANY FOLWARK
200205_2.0020;KOPLANY
200104_5.0023;STAROØY—CE
200203_2.0002;CHRABO£Y
200204_2.0001;BIELEWICZE
200205_2.0032;SIMUNY
200205_2.0011;HRYNIEWICZE
200202_5.0013;OG”£Y
200203_2.0005;FASTY
200204_2.0039;ZUBKI
200204_2.0030;åWIS£OCZANY
200202_5.0015;PONURE
200211_2.0015;DO£KI
200211_2.0002;BARSZCZ”WKA
200207_5.0015;HOèNA
200208_2.0014;GROCHY ST.I NIEMIERZ TA
200211_2.0011;CHODORY
200211_2.0022;NIEWODNICA KOåCIELNA
200211_2.0017;JURASZKI
200211_2.0012;CZACZKI MA£E
200207_5.0027;LEWSZE
200208_2.0024;MARYNKI
200208_2.0023;£UKAWICA
200212_5.0014;£AZIUKI
200208_2.0021;LIZA NOWA
200211_2.0001;BACIUTY
200211_2.0028;TUROå— DOLNA
200207_5.0026;LEONOWICZE
200207_5.0035;OZIAB£Y
200208_2.0008;BRZOZOWO SOLNIKI
200212_5.0013;LIPNIKI
200212_5.0032;SZAFRANKI
200212_5.0015;£AZY DUØE
200212_5.0017;£OPUCHOWO
200212_5.0009;KAPICE STARE
200214_5.0027;NOWOSADY
200214_5.0018;KRYNICKIE
200306_2.0004;GREGOROWCE
200306_2.0009;MALINNIKI
200215_2.0018;RUDNIKI
200214_5.0011;GNIECIUKI
200308_2.0052;ZAKRZEWO
200214_5.0049;ZWIERKI
200215_2.0023;TARGONIE KRYTU£Y
020401_5.0017;£agiszyn
020401_5.0034;Witoszyce
020401_5.0024;RyczeÒ
020207_4.0004;JASIE—
020401_5.0005;ChrÛúcina
020401_5.0036;Zawieúcice
020401_5.0009;Glinka
020103_2.0008;PATOKA
020301_1.0004;CHROBRY
020401_5.0028;Strumyk
020401_5.0006;Czernina
020306_2.0014;ØUKOWICE
020101_1.0014;Boles≥awiec-14
020205_2.0013;OSTROSZOWICE
020303_2.0002;GAIKI-POTOCZEK
020303_2.0004;JERZMANOWA
020102_2.0028;SUSZKI
020304_2.0001;CEBER
020502_5.0001;GORZANOWICE
020502_5.0012;åWINY
020806_5.0015;Nowa £omnica
020806_5.0028;Stara Bystrzyca
020806_5.0023;Ponikwa
020503_2.0001;CHE£MIEC
020201_1.0006;FABRYCZNA
020505_2.0009;POGWIZD”W
020505_2.0003;JAKUSZOWA
020206_2.0011;S£UPICE
020206_2.0008;RATAJNO
020603_1.0003;G”RZYNIEC
020805_1.0001;Piekielna GÛra
020805_1.0002;Stary ZdrÛj
020605_2.0002;KOMARNO
020607_2.0009;MYS£AKOWICE
020607_2.0011;WOJAN”W
020207_5.0007;PODLESIE
020607_2.0001;BOBR”W
020609_2.0005;KROMN”W
020702_2.0018;KRZESZ”W
020702_2.0013;CZADR”W
020702_2.0011;R DZINY
020702_2.0007;PISARZOWICE
020404_5.0029;Wodniki
020608_2.0004;MI£K”W
020604_1.0001;SZKLARSKA POR BA-1
020403_2.0021;ØuchlÛw
020813_5.0006;Kletno
020904_2.0005;KUNICE
020802_1.0002;Leszczyna
020813_5.0003;GoszÛw
020904_2.0011;PIOTR”WEK
020813_5.0007;M≥ynowiec
020802_1.0008;Kuku≥ka
020814_5.0002;Dolina
020809_2.0011;Kulin
020809_2.0016;Zielone Ludowe
020804_1.0007;7-S≥upiec
020810_5.0003;Dolnik
020905_2.0002;BISKUPICE
020810_5.0007;GoworÛw
020810_5.0009;Jod≥Ûw
020806_5.0031;Stary WaliszÛw
020806_5.0020;P≥awnica
020902_2.0003;BUDZIWOJ”W
020806_5.0009;MarianÛwka
020812_5.0008;åcinawka GÛrna
020906_2.0005;GRZYMALIN
020906_2.0015;ULESIE
021004_2.0008;PISARZOWICE
021004_2.0005;MåCISZ”W
021005_5.0002;Boøkowice
020906_2.0006;JAKUSZ”W
020903_2.0013;SZYMANOWICE
021005_5.0006;Nowa åwidnica
020907_5.0003;GOLANKA DOLNA
020907_5.0008;MIERZOWICE
021101_1.0001;ObrÍb 1
020808_5.0007;Skrzynka
020903_2.0003;BIELOWICE
020907_5.0011;SZCZEDRZYKOWICE
020807_2.0004;Go≥og≥owy
020903_2.0014;TY—CZYK LEGNICKI
020807_2.0027;åcinawica
020813_4.0001;Stronie ålπskie
020903_2.0018;Z£OTNIKI
021001_1.0004;4 LUBA—
020901_1.0001;OBR B 1
020807_2.0021;Podzamek
020901_1.0002;OBR B 2
021103_2.0003;Che≥m
021204_5.0010;KWIECISZOWICE
021403_2.0004;Dobroszyce
021203_5.0029;ØERKOWICE
021203_5.0017;P£”CZKI G”RNE
021205_5.0001;BE£CZYNA
021205_5.0011;STRZYØOWIEC
021205_5.0006;MODRZEWIE
021403_2.0013;Siekierowice
021302_2.0004;CZESZYCE
020908_2.0007;POLANKA
021303_5.0015;åWI TOSZYN
021102_2.0004;Czerniec
021102_2.0015;Lisiec
021202_5.0003;JANICE
021204_4.0001;MIRSK-1
021303_5.0038;SU£”W
021301_2.0010;PAKOS£AWSKO
021104_5.0005;D≥uøyce
021702_2.0005;GO£OSTOWICE
021702_2.0006;G”RKA SOBOCKA
021702_2.0019;STRACH”W
021406_2.0026;WyszogrÛd
021601_5.0007;ParchÛw
021702_2.0011;KONDRATOWICE
021406_2.0019;Poniatowice
021408_4.0001;TwardogÛra
021602_2.0003;GostyÒ
021602_2.0008;årem-Witanowice
021401_1.0004;Wπdo≥y
021504_2.0011;JANKOWICE MA£E
021405_5.0011;Niwki KsiπøÍce
021407_5.0012;Zawada
021504_2.0022;PSARY
021407_5.0001;Biskupice
021504_2.0014;MARSZOWICE
021502_2.0012;KURZ•TKOWICE
021502_2.0021;TEODOR”W
021504_2.0001;BOLECH”W
021504_2.0004;DRZEMLIKOWICE
021405_5.0001;BπkÛw
021408_5.0007;DroødøÍcin
021504_2.0018;NIWNIK
021504_2.0003;CHWALIBOØYCE
021504_2.0009;JACZKOWICE
021704_5.0034;W•WOLNICA
021605_5.0004;KrÍpa
021605_5.0001;Jakubowo LubiÒskie
021605_5.0005;£πkociny
021704_5.0011;G SINIEC
021704_5.0008;DOBROGOSZCZ
021704_5.0031;SZCZODROWICE
021704_5.0019;KUROPATNIK
021705_5.0024;ZBOROWICE
021606_2.0004;JakubÛw
021701_2.0015;LUD”W åL•SKI
021704_5.0004;BROØEC
021705_5.0023;WYSZONOWICE
021705_5.0004;GU£”W
021606_2.0005;K≥Íbanowice
021603_2.0015;TrzÍsÛw
021604_4.0003;ObrÍb 3
021604_5.0006;KaümierzÛw
021604_5.0014;Trzebcz
021606_2.0012;Sieroszowice
021704_5.0015;KARSZ”W
021604_5.0009;Pieszkowice
021604_5.0015;Øelazny Most
021906_5.0022;ØÛ≥kiewka
021703_2.0007;KARNK”W
021703_2.0015;ROØN”W
021902_1.0004;Ciernie 4
021705_5.0014;KUCHARZOWICE
021906_5.0007;GrochotÛw
021804_4.0002;ObrÍb 2
021802_2.0004;Kwietno
021802_2.0006;Mazurowice
021804_4.0008;ObrÍb 8
021804_4.0001;ObrÍb 1
021705_5.0016;£OJOWICE
021705_5.0021;WAWRZYSZ”W
021805_2.0002;Drogomi≥owice-£ag.
021703_2.0006;JEG£OWA
021904_5.0003;Czechy
021904_5.0007;Pasieczna
021804_5.0004;Chwalimierz
021804_5.0013;Kulin
021904_5.0009;Piotrowice åwidnickie
021904_5.0001;Bagieniec
021906_4.0001;Krzyøowa GÛra Nr1
021904_5.0012;WitkÛw
021803_2.0004;Brzezinka åredzka
021803_2.0003;Brzezina
021803_2.0017;Pisarzowice
021804_5.0010;Kobylniki
021906_5.0021;ØelazÛw
021906_5.0014;Rogoünica
021801_2.0015;Piotrowice
021901_1.0001;Osiedle M≥odych
021801_2.0019;Siemidroøyce
021801_2.0020;Szymanowice
021901_1.0003;Fabryczna
021903_2.0010;PietrzykÛw
021801_2.0009;Karczyce
021903_2.0002;BronÛw
021903_2.0006;GniewkÛw
026501_1.0029;SOBI CIN NR 29
021908_5.0008;Marcinowiczki
022305_2.0031;PustkÛw Wilczkowski
026501_1.0014;BIA£Y KAMIE— NR 14
021908_5.0002;BukÛw
022004_2.0007;OZOROWICE
022301_2.0013;Wojnowice
026501_1.0006;PIASKOWA G”RA NR 6
022004_2.0005;MALIN
026501_1.0035;RUSINOWA NR 35
026501_1.0008;PONIAT”W NR 8
022004_2.0016;WYSOKI KOåCI”£
022305_2.0022;ålÍza
021908_5.0009;MielÍcin
022107_2.0004;JAB£”W
022107_2.0005;LUBOMIN
022107_2.0008;STRUGA
022005_2.0004;CZESZ”W
022003_5.0013;Jaüwiny
022006_5.0029;ØMIGR”DEK
022001_5.0006;KOWALE
022003_5.0006;Brzezie
022003_5.0010;DroszÛw
022003_5.0024;Mas≥owiec
022001_4.0001;Oborniki ålπskie
022001_5.0012;Osolin
022003_5.0017;KomorÛwko
022203_5.0008;£ososiowice
022202_2.0041;PrzyborÛw
022101_1.0004;NR 4 BOGUSZ”W
022203_5.0015;Pe≥czyn
022106_4.0001;MIEROSZ”W 1
022203_5.0006;Lipnica
022108_2.0003;JUGOWICE
022202_2.0027;WÍgrzce
022202_2.0033;Dπbie
022302_2.0031;Pruszowice
022006_5.0022;POWIDZKO
022006_5.0025;RADZI•DZ
022202_2.0017;Piskorzyna
022202_2.0039;Moczydlnica Kl.
022006_5.0023;PRZEDKOWICE
022305_2.0013;Kobierzyce
022304_5.0010;Koz≥Ûw
022305_2.0011;KsiÍginice
022307_4.0004;ålÍøa
022307_4.0003;StrzeblÛw
022309_2.0017;Przec≥awice
022302_2.0007;Bukowina
022302_2.0004;Borowa
022304_5.0025;Smolec
022307_5.0014;Siedlakowice
022308_5.0003;Bogus≥awice
022309_2.0011;Mnichowice
022406_4.0002;WSCH”D
022406_5.0028;WITOSTOWICE
022506_5.0003;KOåCIELNA WIEå
022406_5.0011;KRZELK”W
022404_2.0009;SREBRNA G”RA
022404_2.0011;ØDAN”W
022502_1.0005;V
022505_2.0006;RADZIM”W
022405_5.0016;ZWR”CONA
040107_2.0006;Niestuszewo
040106_2.0008;Kruszynek
026201_1.0025;HUTA
026201_1.0040;SMOKOWICE
040106_2.0012;Pomiany
026201_1.0022;LEGNICKI DW”R
026201_1.0015;TARNIN”W
022507_2.0022;ØARSKA WIEå
026201_1.0023;BARTNIKI
022603_2.0007;TWARDOCICE
026201_1.0002;PIASKI
026201_1.0010;STARE MIASTO
026401_1.0043;Pracze OdrzaÒskie
026401_1.0041;Pilczyce
026401_1.0039;Nowy DwÛr
026401_1.0031;KozanÛw
026401_1.0057;Polanowice
026401_1.0067;WojnÛw
026401_1.0003;Biskupin
026401_1.0018;KsiÍøe Wielkie
026401_1.0047;Z≥otniki
026101_1.0030;GODUSZYN - I
026101_1.0005;CIEPLICE - V
026101_1.0029;CZARNE
026401_1.0020;Opatowice
026401_1.0068;ZakrzÛw
022602_1.0001;OBR B 1
026101_1.0044;44
026401_1.0042;Popowice
026101_1.0002;CIEPLICE - II
026101_1.0036;36
022602_1.0006;OBR B 6
026401_1.0022;Po≥udnie
026401_1.0013;Gaj
026401_1.0050;Kar≥owice
040105_2.0006;Jaranowo Duøe
040105_2.0008;Toporzyszczewo Stare
040109_2.0006;Sinki
040104_2.0025;Rudunki
040108_2.0015;Michalin
040104_2.0006;Chrusty
040105_2.0015;£Ûwkowice
040104_2.0032;Wygoda
040104_2.0012;Nowy Ciechocinek
040209_2.0006;K£UåNO
040303_2.0002;Dobrcz
040209_2.0008;ME£NO
040303_2.0003;Gπdecz
040303_2.0009;Stronno
040303_2.0017;Wudzyn
040405_2.0003;Firlus
040207_5.0006;GORZECH”WKO
040209_2.0014;åWIEDZIEBNIA
040207_5.0013;NOWA WIEå
040404_2.0016;StrucfoÒ
040208_2.0005;KUJAWA
040208_2.0008;OSIEK
040302_2.0016;Wa≥dowo KrÛl.
040404_2.0006;Kornatowo
040302_2.0007;Gzin Dolny
040210_2.0013;ZASTAWIE
040210_2.0015;ØMIJEWKO
040301_2.0007;Murowaniec
040401_1.0007;7
040401_1.0008;8
040304_5.0003;BYTKOWICE
040403_2.0002;Bπgart
040204_2.0011;ZEMBRZE
040504_5.0011;Mlewiec
040403_2.0010;Trzebczyk
040403_2.0013;Watorowo
040304_5.0033;WTELNO
040504_5.0018;Srebrniki
040201_1.0027;BRODNICA-27
040305_2.0005;Jakubowo
040201_1.0028;BRODNICA-28
040305_2.0006;Januszkowo
040603_5.0008;Nowe Jankowice
040603_5.0013;Szczepanki
040603_5.0015;Szynwa≥d
040603_5.0017;Wybudowanie £asiÒskie
040603_5.0020;Zawdzka Wola
040701_1.0006;Inowroc≥aw Obr. 6
040506_2.0005;£ukaszewo
040506_2.0012;Wielgie
040407_2.0002;Bruki I
040602_2.0012;PlemiÍta
040602_2.0014;S≥up
040708_2.0003;Dobies≥awice
040709_2.0004;DπbrÛwka Kujawska
040708_2.0009;Jurancice
040503_2.0004;Ga≥czewko
040503_2.0001;Bia≥kowo
040505_2.0006;£ubki
040505_2.0007;PiÛrkowo
040503_2.0012;Paliwodzizna
040503_2.0013;Pusta DπbrÛwka
040503_2.0017;Soko≥owo
040708_2.0016;P≥onkÛwko
040505_2.0011;RÍtwiny
040702_2.0004;ChrÛstowo
040703_5.0026;Zajezierze
040704_2.0002;Balczewo
040702_2.0009;Mleczkowo
040704_2.0027;Miechowice
040703_5.0011;Klepary
040604_5.0007;Mazanki
040604_5.0008;Nowy DwÛr
040702_2.0025;Wola StanomiÒska
040703_5.0021;Szpital
040605_2.0010;RogÛüno
040703_5.0001;Bπbolin
040706_5.0045;Tarnowo
040706_5.0006;Che≥mce
040706_5.0050;Øerniki
040704_2.0041;Strzemkowo
040706_5.0035;Roøniaty
040704_2.0032;Ostrowo Krzyckie
040706_5.0042;Sokolniki
040806_2.0017;KOMOROWO
040801_1.0003;LIPNO OBR B 3
040801_1.0008;LIPNO OBR B 8
040902_2.0012;Nowa Wieú
040806_2.0003;BISKUPIN
040709_2.0013;Mierzwin
040806_2.0007;G£ODOWO
040901_2.0010;SÍdowo
040805_2.0015;TRUTOWO
040809_2.0005;CZERSKIE RUMUNKI
041001_4.0001;Kcynia
040805_2.0009;KO£AT RYBNIKI
040804_4.0002;DOBRZY— NAD WIS£• OBR B 2
041002_5.0002;Drπøno
040809_2.0014;RUMUNKI TUPADELSKIE
040804_5.0004;GLEWO
040902_2.0001;Berlinek
040804_5.0008;KISIELEWO
040808_2.0020;èR”D£A
040808_2.0021;MARIANKI
040804_5.0010;KOLONIA CHALIN
040804_5.0012;KROJCZYN
040808_2.0001;BOROWO
040808_2.0002;JASIE—
040805_2.0013;SUMIN
041004_2.0014;Samostrzel
041004_2.0003;Broniewo
040904_5.0010;Ksiπø
041001_5.0007;Grocholin
041001_5.0009;Iwno
040904_5.0014;Miros≥awice
041004_2.0009;£odzia
041004_2.0008;LiszkÛwko
041001_5.0015;Ludwikowo-£πki
041004_2.0011;Ostrowiec
041001_5.0036;Ujazd
040904_5.0006;Ciencisko
041001_5.0039;Dziewierzewo
041005_5.0027;Smolniki
041203_2.0001;Borowo
041202_2.0017;Ugoszcz
041003_5.0009;Michalin
041003_5.0011;Paterek
041003_5.0012;Potulice
041204_2.0025;Starorypin Rzπdowy
041005_5.0035;Wolwark
041203_2.0017;PrÍczki
041203_2.0018;Rogowo
041203_2.0020;Rojewo
041205_2.0013;Ruda
041205_2.0015;Szczawno
041205_2.0016;Skudzawy
041005_5.0042;Øurczyn
041204_2.0002;Borzymin
041205_2.0011;Przywitowo
041204_2.0005;DÍbiany
041005_5.0016;Mπkoszyn
041005_5.0014;KrÛlikowo
041005_5.0017;Niedüwiady
041005_5.0018;PiÒsko
041003_5.0005;Karnowo
041103_2.0011;DOBRE WIEå
041104_2.0029;ZIELI—SK
041103_2.0012;K£ONOWO
041104_2.0031;ZBL G
041107_2.0005;CZAMANIN
041107_2.0007;CZAMANINEK
041104_2.0018;PILICHOWO
041106_2.0006;CZO£”WEK
041104_2.0020;POWA£KOWICE
041106_2.0011;P£OWCE I
041106_2.0014;PRUCHNOWO
041502_2.0005;Browina
041206_2.0004;Kie≥piny
041206_2.0005;Kierz PÛ≥wieski
041107_2.0024;åWINKI
041502_2.0009;G≥uchowo
041206_2.0013;Radziki Ma≥e
041107_2.0028;WYROBKI
041502_2.0014;Kuczwa≥y
041301_4.0001;KamieÒ KrajeÒski
041402_2.0004;Fletnowo
041402_2.0008;Michale
041205_2.0018;Szustek
041402_2.0011;Stare Marzy
041107_2.0021;åWIERCZYN
041405_2.0002;B≥πdzim
041302_5.0008;Niechorz
041302_5.0009;Piaseczno
041302_5.0012;åwidwie
041302_5.0014;Wa≥dowo
041403_2.0005;DÛlsk
041303_2.0012;Soúno
041503_2.0010;Mazowsze Parcele
041501_1.0006;ObrÍb 06
041304_5.0010;PÍperzyn
041401_2.0012;Plewno
041401_2.0015;Przysiersk
041804_5.0002;Brzezie
041504_2.0014;M≥yniec Pierwszy
041504_2.0015;M≥yniec Drugi
041606_5.0004;Legbπd
041804_5.0007;Gustorzyn
041504_2.0019;Z≥otoria
041606_5.0002;Kie≥pin
041804_5.0009;JaranÛwek
041505_2.0005;£ubianka
041804_5.0012;Kπkowa Wola Wieú
041703_2.0006;Osieczek
041507_2.0003;Dzikowo
041507_2.0004;G≥ogowo
041705_2.0005;Ludowice
041705_2.0009;Myúliwiec
041705_2.0011;OrzechÛwko
041503_2.0013;Steklin
041705_2.0017;Trzcianek
041507_2.0015;Silno
041603_2.0001;Droødzienica
041702_2.0005;Ma≥e Pu≥kowo
041802_2.0011;PatrÛwek
041604_2.0011;We≥pin
041601_2.0002;Cekcyn
041605_2.0009;LubocieÒ
041802_2.0018;Zawada Nowa
041601_2.0004;Krzywogoniec
041806_5.0002;CETTY
041806_5.0004;GAWIN
041601_2.0005;Ludwichowo
041704_2.0013;Uciπø
041506_2.0001;Gostkowo
041506_2.0005;Lipniczki
041506_2.0006;Lulkowo
041605_2.0016;åliwiczki
041602_2.0004;Ma≥a Klonia
041806_5.0018;STRZYØKI
041806_5.0020;TRZESZCZON
041811_5.0004;Bilno
041806_5.0022;WOLA ADAMOWA
041806_5.0023;ZALESIE
041806_5.0014;PRZYSYPKA
041809_2.0013;Rakutowo
041809_2.0014;Strza≥y
060107_2.0007;SOLINKI
041905_2.0018;Ryszewo
041905_2.0013;MiÍcierzyn
041905_2.0014;Niedüwiady
041905_2.0020;SzkÛ≥ki
060103_2.0023;ORTEL KSI•Ø CY I
060103_2.0025;PERKOWICE
060103_2.0017;KRZYMOWSKIE
041904_5.0013;Wielki Sosnowiec
060104_2.0018;ØEROCIN
060104_2.0013;SZ”STKA
060104_2.0017;ZAHAJKI
060104_2.0003;DO£HA
041901_5.0016;Wapienno
060101_1.0002;2
041904_5.0001;Nowe Dπbie
041904_5.0006;LubostroÒ
060103_2.0034;STYRZYNIEC
041904_5.0008;Obielewo
060103_2.0032;S£AWACINEK NOWY
041811_5.0038;Wola Olszowa Parc.
060106_2.0016;ZAB£OCIE KOLONIA
041904_5.0015;W≥adys≥awowo
041902_2.0002;Biskupin
041902_2.0003;Chomiπøa Szlachecka
041902_2.0004;Drewno
041902_2.0007;GogÛ≥kowo
041812_5.0011;Dobierzyn
041812_5.0015;K≥obia Nowa
041813_2.0027;SmÛlnik
041813_2.0029;Telπøna Leúna
041813_2.0005;KOLONIA D BICE
041812_5.0028;Redecz Wielki Parc.
041812_5.0027;Redecz Kalny
041812_5.0030;Sarnowo
041813_2.0015;£adne
046101_1.0466;0466
046101_1.0491;0491
041906_5.0021;Paryø
046101_1.0472;0472
041903_5.0019;W≥oszanowo
041906_5.0030;S≥Íbowo
041906_5.0007;Chomiπøa KsiÍøa
041906_5.0032;Sulinowo
046101_1.0481;0481
046101_1.0500;0500
041906_5.0034;Uúcikowo
041906_5.0036;Wenecja
046101_1.0055;0055
046101_1.0019;0019
046101_1.0041;0041
046101_1.0021;0021
046101_1.0042;0042
046101_1.0090;0090
046101_1.0026;0026
046101_1.0027;0027
046101_1.0074;0074
046101_1.0029;0029
046101_1.0075;0075
046101_1.0012;0012
046101_1.0031;0031
046101_1.0053;0053
046101_1.0131;0131
046101_1.0165;0165
046101_1.0136;0136
046101_1.0173;0173
046101_1.0172;0172
046101_1.0142;0142
046101_1.0117;0117
046101_1.0121;0121
046101_1.0279;0279
046101_1.0209;0209
046101_1.0251;0251
046101_1.0215;0215
046101_1.0254;0254
046101_1.0239;0239
046101_1.0218;0218
046101_1.0223;0223
046101_1.0262;0262
046101_1.0263;0263
046101_1.0231;0231
046101_1.0326;0326
046101_1.0235;0235
046101_1.0237;0237
046101_1.0361;0361
046101_1.0395;0395
046101_1.0426;0426
046101_1.0363;0363
046101_1.0337;0337
046101_1.0366;0366
046101_1.0431;0431
046101_1.0404;0404
046101_1.0380;0380
046101_1.0441;0441
046101_1.0411;0411
046101_1.0388;0388
046101_1.0415;0415
046101_1.0325;0325
046101_1.0391;0391
046201_1.0026;026
046201_1.0092;092
046201_1.0032;032
046201_1.0060;060
046201_1.0103;103
046201_1.0036;036
046201_1.0010;010
046201_1.0099;099
046201_1.0080;080
046201_1.0024;024
046201_1.0086;086
046201_1.0089;089
046201_1.0149;149
046301_1.0025;ObrÍb 25
046201_1.0132;132
046201_1.0155;155
046201_1.0138;138
046201_1.0161;161
046201_1.0117;117
046201_1.0163;163
046301_1.0001;ObrÍb 1
060105_2.0017;POLIN”W
060110_2.0034;ZAWADKI
060111_2.0010;PISZCZAC KOLONIA
060111_2.0018;PISZCZAC OSADA
060112_2.0005;KLONOWNICA DUØA
060108_2.0016;WORGULE
060108_2.0008;LEåNA PODLASKA
060112_2.0004;HO£ODNICA
060108_2.0014;WITULIN
060109_2.0010;KOZ£Y
046301_1.0034;ObrÍb 34
060109_2.0002;BURWIN
060109_2.0018;WOLA DUBOWSKA
060109_2.0006;JUSAKI-ZARZEKA
060109_2.0017;SZYMANOWO
060202_2.0003;ALEKSANDR”W III
140504_4.0027;27
060205_5.0008;RADZI CIN
060205_5.0002;KOLONIA K•TY
060205_5.0004;K•TY
060305_2.0007;KAJETAN”WKA
060208_2.0017;ZYNIE
060304_2.0020;POGRANICZE
060208_2.0009;PRZYMIARKI
060303_2.0036;WOJNIAKI
060209_2.0008;CHMIELEK II
060211_2.0003;LIPINY DOLNE
060212_5.0003;R”ØANIEC I
060213_2.0009;PANAS”WKA
060213_2.0004;TERESZPOL KUKIE£KI
120507_2.0002;StaszkÛwka
060303_2.0041;Ø”£TA—CE
060112_2.0011;POKINIANKA
060113_2.0005;ROMASZKI
060113_2.0001;BORDZI£”WKA
060118_2.0004;HORODYSZCZE
060304_2.0011;LADENISKA
060304_2.0028;TURKA
120607_2.0012;Rπczna
060303_2.0017;OKSZ”W
060116_2.0012;£ GI
060116_2.0016;MA£ASZEWICZE DUØE
060204_2.0003;BUKOWINA
060114_2.0003;KUZAWKA KOLONIA
060207_5.0013;SZOPOWE
060207_5.0009;TARNOWOLA
060207_5.0003;KOLONIA CZARNY LAS
060210_2.0003;OBSZA
060114_2.0005;MOåCICE DOLNE
060117_2.0004;D•BROWICA DUØA
060117_2.0006;LENIUSZKI
060114_2.0011;TEREBISKI
060214_2.0004;GAJ CZERNI CI—SKI
060306_2.0006;J”ZEFIN
060115_2.0002;CZEPUTKA
060119_2.0008;KIJOWIEC
060301_1.0012;OBR B 12
061104_2.0009;JASNOSZ
060306_2.0003;HALICZANY
060306_2.0016;STRACHOS£AW
060119_2.0016;MOKRANY NOWE
060114_2.0009;S£AWATYCZE
060203_2.0013;KORCZ”W
060203_2.0016;NADRZECZE
060203_2.0015;MAJDAN GROMADZKI
060203_2.0012;KAJETAN”WKA
060503_2.0004;BRANEWKA-KOLONIA
060503_2.0011;KOCUDZA G”RNA
060307_2.0015;RAKO£UPY
